Company Name,Country,Contact Person (CEO/MD),Email,Phone,Website
Combi Noord    Service & Sales Centre,Netherlands (the),Mr. Fred Barendsma,info@combinoord.nl,+31 (0)88 455 30 00,http://www.combinoord.nl
Chepakov Ltd.,Bulgaria,,mail@chepakov.com,+359 (0)89 4455404,https://shop.chepakov.com
"LCPOWER - Luis Carneiro, Soluções de Energia S.A.",Portugal - & Azores,Miguel Carneiro,miguel@lcpower.com.pt,+351 229 984 000,https://www.lcpower.com/
EnerNav PT Unipessoal Lda,Portugal - & Azores,Diana Leandro,portugal@enernaval.pt,+351 21 483 13 53,
PK Fluvial (Distributeur),France,Mr Sébastien Nuytten,contact@energy-online.fr,+33 (0)148 722 854,http://www.energy-online.fr
S.C. CARPAT ENERGY S.R.L.,Romania,Puşcă Ovidiu,office@carpatenergy.ro,+40 (0)264 530 400,http://www.carpatenergy.ro
Fer-Vill Kft.,Hungary,Mr. Szőr Ferenc,saru@fervill.hu,+36 1 264 2044,http://www.fervill.hu
"A2B, s.r.o.",Slovakia,Mr. Peter Svolik,a2b@a2b.sk,+421 41 5000 490,http://www.a2b.sk
Kon Tiki Solar d.o.o. Kamnik,Slovenia,Gasper Skarja,gasper.skarja@kontiki-solar.si,+386 1 83 10 380,http://www.kontiki-solar.si
Sombras e Eclipses,Portugal,,info@portugal-energia-solar.com,+351 966 776 620,https://www.portugal-energia-solar.com/
"Cidade Solar, Energias Renovaveis, Lda.",Portugal,Eng. Maria Lobato,cidadesolar.marialobato@gmail.com,+351 912 487 238,
UFlex S.R.L.,Italy,,uf.marine.sales@ultraflexgroup.it,+39 010 9620203,http://www.uflex.it
Osculati S.p.A.,Italy,,info@osculati.it,+39 (0)2 2699 111,http://www.osculati.com
Sironi batterie S.R.L.,Italy,,ssironi@sironibatterie.it,+39 (0)2 266 6755,http://www.sironibatterie.it
EcoSolar,Poland,Mr. Marek Poltorak,marek.poltorak@ecosolar.pl,+48 22 844 9188,http://www.ecosolar.pl
Ti Et Dzhi Ltd,Bulgaria,Todor Ganev,todor@ganevtegenergy.com,+359 (0) 899 215 737,https://ganevtegenergy.com/
Autarking AG,Switzerland,Roland Reutimann,info@autarking.ch,+41 55 505 22 30,https://autarking.ch/
Dobbelaere Automotive-Elektro,Belgium,Donald Dobbelaere,info@dobbelaere-ae.be,+32 (0)50 714077,http://www.dobbelaere-ae.be
Wasi d.o.o.,Croatia,,info@wasi.hr,+385 (0)1 3455 945,http://www.wasi.hr
Neho Speciaal Techniek B.V.,Netherlands (the),Mr. Jeroen Mulder,info@nstbv.nl,+31 (0)182 387 522,http://www.nstbv.nl
Asea Nautica srl,Italy,,victron@aseanautica.com,+39 0187515427,http://www.aseanautica.com
Off-Grid Services,Belgium,Gerard Goeders,info@offgridservices.be,+32 493 87.85.10,https://www.offgridservices.be
Denizmar,Turkey,,info@denizmar.com,+90 (0)232 483 4218,http://www.denizmar.net/
Marina Deniz Araçları,Turkey,,info@marina.com.tr,+90 (0)216 338 1441,http://www.marina.com.tr
FRIGO MARINE d.o.o.,Croatia,Nenad Špiranec,info@frigomarine.hr,+385 (0)1 6608 596,http://www.frigomarine.hr
Mobile Campingwerkstatt,Switzerland,Raphael Lüthi,info@mobile-campingwerkstatt.ch,+41 33 511 50 21,https://www.mobile-campingwerkstatt.ch
Solar Spektar AG Dooel,Republic of North Macedonia,Goran Mojsoski,solarspektar@gmail.com,+389 (0)2 2722 499,
SunTrack sp. z o.o.,Poland,Filip Mączyński,info@suntrack.pl,+48 22 646 46 92,https://suntrack.pl/
Allo Solar (Distributeur),France,,bonjour@allo.solar,04.67.30.96.76,http://www.allo.solar
All-Spark BV,Belgium,Laurent Siau,info@all-spark.eu,+32 (0)9 424 15 57,https://all-spark.eu/
ATAUM,Belgium,Matthieu Wuidar,hello@ataum.be,+32 84 37 73 36,http://www.ataum.be
Solarmarkt GmbH,Switzerland,Mr. Stefan Rauber,services@solarmarkt.ch,+41 62 834 00 80,http://www.solarmarkt.ch
Indel Marine d.o.o.,Croatia,Mr. Mike Lorencin,info@indelmarine.hr,+385 (0)51 224 384,http://www.indelmarine.hr
offgridshop.eu | Sailectron Services GmbH,Austria,Lukas Vrecer,victron@offgridshop.eu,+43 3124 21818,https://www.offgridshop.eu
Venema Technisch Bedrijf  BV,Netherlands (the),Mr. Hans Venema,info@venematech.nl,+31 (0)26 363 9961,http://venematech.nl
Eltesan Mobil Teknoloji Sistemleri,Turkey,,infomobil@eltesan.com,+90 (0)216 540 5151,https://eltesanmobil.com.tr/tr
ANTARES DIFFUSION (Distributeur),France,Damien BERTHALIN,damien.berthalin@antares-diffusion.com,04 78 96 14 45,https://www.antares-diffusion.com/
Eberca BV,Belgium,Klaas Herpels,sales@eberca.be,+32 (0)16 402500,http://www.eberca.be
Vandenabeele,Belgium,,info@vandenabeele.be,051/31.18.12,https://www.vandenabeele.be/automotive-parts-equipment/voertuigonderdelen-en-diensten/voertuiguitrusting
Akumar S.C.,Poland,Damian Kunikowski,victronenergy@akumar.pl,+48 666 612 860,http://www.akumar.pl
Distribuciones Solares del Principado S.L.,Spain,,info@distribucionessolares.com,+34 985 794 703,http://www.distribucionessolares.es
"RA Energy Spain, S.L.",Spain,Monica - Marta,ventas@raenergy.es,,
"REVEZ-SOLAR Energias Renováveis, Lda.",Portugal - & Azores,"José Manuel Revez, Engº.",info@revez-solar.com,+351 284 328 279,http://www.revez-solar.com/
SC MetalZinc SRL,Romania,Daineanu Vasile,solar@greenenergie.ro,+40-723000644,http://greenenergie.ro
SC EEE SA,Romania,Nicolae Popescu,solar@eee.ro,+40256 291661,https://eee-store.ro/
Ecoalternativ Sistem Srl,Romania,Ene Cristian,office@ecoalternativ.ro,+40723 262 932,http://ecoalternativ.ro/
Romstal Imex S.r.l.,Romania,Claudiu Velisar,claudiu.velisar@romstal.ro,+4 0720005456,https://www.romstal.ro/
ECOSOLARIS SERVICES SRL,Romania,Marin Adrian,office@ecosolaris.ro,+40314337099,https://www.ecosolaris.ro
CONSTANT ENERGY SRL,Romania,contact@constantenergy.ro,contact@constantenergy.ro,+40727619222,https://constantenergy.ro
Inversolar,Spain,Antonio Chamizo,antonio@inversolar.es,+34 924 256 600,http://inversolar.es/
Krannich Solar S.L.U.,Spain,,ventas@es.krannich-solar.com,+34 961 594 668,http://www.krannich-solar.com
Saclima Solar Fotovoltaica SL,Spain,,srubio@saclimafotovoltaica.com,+34 961 517 050,http://www.saclimafotovoltaica.com
Soleme Soluciones Energeticas SL,Spain,,m.reales@solemesl.com,+34 916362713,https://solemesl.com/
Suministros Orduña,Spain,,info@suministrosorduna.com,+34 925 105 155,https://www.suministrosorduna.com/
"Suministros Solares, S.L.",Spain,,info@sumsol.com,+34 913641362,https://sumsol.com
Techno Sun SLU,Spain,,info@technosun.com,+34 963 826 565,http://www.technosun.com
"Acastimar, SL",Spain,,cesar@acastimar.com,+34 977 362 118,http://www.acastimar.com
Akupalma,Spain - Balearen,Jose Antonio Palma Godoy (Solar),info@akupalma.com,+34 971 461 811,https://akupalma.com
H2EM (Distributeur & Installateur),France,Mathieu Ducasse,mathieu@h2em.fr,,
Linetech,Turkey,,info@linetech.com.tr,+90 (0) 212 6710939,http://www.linetech-tr.com/
AES Technische Groothandel Emmeloord,Netherlands (the),,emmeloord@aes-tg.nl,0527-631111,http://www.aes-tg.nl
Bornay Baleares,Spain - Balearen,David Pérez Blázquez,baleares@bornay.com,+34 654 113 252,
George Kniest Boat Equipment,Netherlands (the),Mr. S. Kempers,klantenservice@georgekniest.nl,+31 (0)36 536 9440,http://www.georgekniest.nl
Sinpur Energy SRL.,Romania,Ing. Marian Doboseru,marian.doboseru@sinpurenergy.ro,+4 0752 387 688,http://www.sinpurenergy.ro
SOLARIS (Distributeur),France,Monsieur Claude GAGET,info@solaris-store.com,+33 (0)4 28 29 24 29,http://www.solaris-store.com
Dacpol SP. z.o.o,Poland,Mr. Piotr Jasinski,p.jasinski@dacpol.eu,+48 22 703 5100,http://www.dacpol.eu
GENERATION HYBRIDE (SARL GENHY) (Distributeur),France,Guillaume BARNAUD,gbarnaud@generationhybride.fr,+33 6 85 05 69 49,
SC ARENY ENERGIE ALTERNATIVA SRL,Romania,Nicu-Eugen Glogogeanu,office@kitoffgrid.ro,+4 0770 818 049,http://www.kitoffgrid.ro
POCHON (Distributeur & Installateur),France,Olivier Landreau,o.landreau@pochonpro.com,+33 (0)5 4641 3053,
SOLAR BOX STORAGE SYSTEMS GmbH,Austria,Manfred Hartner,office@solar-box.at,+43 (0)3144 6581,http://www.solar-box.at
"Puntoenergia Italia, Srl",Italy,,commerciale@puntoenergiaitalia.it,+39 0882228247,https://www.puntoenergiashop.it/it/
MADEnR (Distributeur),France,Mr Bruno Beaucousin,sales@madenr.com,+33 2 31 65 59 40,https://www.madenr.com
VENSTAR bvba,Belgium,Jeroen Slabbinck,info@venstar.eu,+32 3 434 44 04,http://www.venstar.eu
MADEnR (Distributeur),France,Bruno BEAUCOUSIN,sales@madenr.com,+33 2 31 65 59 40,https://www.madenr.com/
APB-ENERGY (Distributeur),France,David Dutrion,contact@apb-energy.com,+33 450273011,https://www.apb-energy.fr/
Scheiber (Distributeur),France,Maud Massé,contact@scheiber.com,+33 (0)2 51 51 73 21,https://www.scheiber.com
La Boutique Solaire Pro (Distributeur),France,Guillaume Guinebaud,contact@laboutique-solaire-pro.com,0749164465,http://www.laboutique-solaire-pro.com
Carapace (Distributeur),France,David Congiu,store@carapaceamenagement.fr,0255994422,http://www.carapaceamenagement.fr
Energyblue (Distributeur & Installateur),France,Rémi Boyer,remy@energyblue.fr,,
E.F.E (Distributeur & Installateur),France,Fabrice Carrara,sarlefe66@gmail.com,+33 04 68 38 92 72,http://www.efe66.fr
EKLOR (Lyon) (Distributeur),France,Mr Julien Michel,contact@eklor.fr,04 72 89 11 61,https://eklor.shop/categorie-produit/onduleurs-photovoltaiques/?wpf_filter_product_brand=victron
EKLOR (Distributeur),France,,commercial@eklor.fr,+33 (0)5 4928 4897,
D2EA (Distributeur),France,Pascal Gagné,p.gagne@d2ea.fr,,http://www.d2ea.fr
VDM Reya (Distributeur),France,Service Client,info@vdm-reya.com,+33 (0)9 71 00 17 78,http://www.vdm-reya.com
BATTERIES 73 (Distributeur),France,LAURENT GUICHERD,l.guicherd@batteries73.com,04 79 96 87 07,https://www.batteries73.com/
Batteries73  Albertville (Distributeur),France,Laurent GUICHERD,albertville@batterie73.com,04 79 37 03 25,http://batteries73.com/magasin_albertville.php
Batteries Center (Distributeur),France,Guillaume Chavanne,grenoble@batteries-center.com,04 76 97 55 27,http://www.batteries73.com
SINES France (Distributeur),France,Mr BILLON Nicolas,contact@sines.fr,+33 6 64 71 60 49,http://www.sines.fr
SPN Energy (Distributeur & Installateur),France,Jean-Christophe Clerc,negoce@spn-energy.com,,http://www.spn-energy.com
Inter - Action ( Installateur),France,Christophe Boutinaud,contact@inter-action.fr,07.81.36.33.36,http://www.inter-action.fr/
BLUENERGY (Distributeur),France,Christophe Boutineau,info@bluenergy.fr,+33 (0)7 8136 3336,http://www.bluenergy.fr
Batteries Conseil Vannes (Distributeur),France,Romain Pisigo,romainpisigo@batteriesconseil.fr,02 97 68 84 78,http://www.batteriesconseil.fr
Batteries Conseil Rennes (Distributeur),France,Mickaël GATINEAU,mickaelgatineau@batteriesconseil.fr,,https://www.batteriesconseil.fr
Batteries Conseil Lorient (Distributeur),France,,lorient@batteriesconseil.fr,02 97 30 86 42,https://www.batteriesconseil.fr
START ENERGY (Distributeur et installateur),France,Georges Gabriele,contact@startenergy.fr,04 80 80 63 30,http://www.startenergy.fr
ECOLODIS Solaire (Distributeur),France,Monsieur QUAINON Emmanuel,contact@ecolodis.com,+33 (0)1 4026 1250,https://www.ecolodis-solaire.com
EVB France (Distributeur),France,Vincent ALLARD,vincent.allard@evb-france.com,+336.25.04.13.00,http://www.evb-france.com
TEEM (Distributeur & Installateur),France,Carole Biarnes,teemlorient@teem-electronique.fr,+33 (0)2 3091 9810,http://www.teem-electronique.fr
TEEM (Distributeur & Installateur),France,Juliette Girard,teempordic@teem-electronique.fr,+33 (0)2 9679 1759,http://www.teem-electronique.fr
Bleu Ciel Energie (Distributeur),France,Marc Parent,m.parent@bleucielenergie.com,,
Renewable Energy: Gesolar Cyprus Ltd,Cyprus,Mr Pambos Stavrinides or Constantinos Stavrinides,info@gesolarcyprus.com,+357 (0)22 356 695,http://www.gesolarcyprus.com
Energy Solutions (Also Repair Centre),United Kingdom of Great Britain and Northern Ireland (the),Mr. Paul Holland,sales@energy-solutions.co.uk,+44 (0)1634 290772,http://www.energy-solutions.co.uk
"Neosolar, spol. s r. o.",Czechia,Mr. Jiří Zeman,zeman@neosolar.cz,+420567313652,http://www.neosolar.cz
Independent Solar Systems (installateur),Netherlands (the),J. Meijerink / W. Bakker,sales@independentsolarsystems.nl,+31 (0)570 510 247,http://www.independentsolarsystems.nl
Rudolphus BV,Netherlands (the),dhr. E Stoll,info@rudolphus.nl,+31 (0)26 442 9923,http://www.rudolphus.nl
Kombel S.R.L.,Italy,,info@kombel.it,+39 06 90545944,http://www.kombel.it
Aresti Power Ltd,Greece,Mr Emmanuel Psaromanolakis,info@arestipower.gr,+30 210 815 0744,http://www.arestipower.gr
Zois Efstathiou S.A.,Greece,Mr Nikos Vlatakis,nikos_vlatakis@zois.gr,+30 210 940 9828,http://www.zois.gr
Krannich Solar M. EPE,Greece,,info@gr.krannich-solar.com,+30 2310 751960,http://www.krannich-solar.com
Kladis Energy Ltd,Greece,,kladis@kladisenergy.gr,+30 2810 223100,http://www.kladisenergy.gr
Scanpotec Aps,Denmark,Peter Rysholt Christiansen,info@scanpotec.dk,+45 7244 9090,http://www.scanpotec.dk
NTT ENERGY,Ukraine,Mr. Ivan Bashtovyi,ivan.bashtoviy@ntt-energy.com.ua,+380 44 233 6240,http://ntt-energy.com.ua
Thermoprodukter AB,Sweden,,info@thermoprodukter.se,0480-425880,http://www.thermoprodukter.se
Odelco AB,Sweden,Håkan Blumenthal,info@odelco.se,+46 (0)8 718 0300,http://www.odelco.se
Flinkenberg Energy,Finland,Aapo Kankaanpaa,,+358 (0)9 859 911,http://www.flinkenberg.fi/energy/
Transmotor ApS,Denmark,Preben Vang Nielsen,info@transmotor.com,+45 (0)9664 0977,http://www.transmotor.com
Lectron ApS,Denmark,Lars Vestergaard,lectron@lectron.dk,+45 (0)4918 0450,http://www.lectron.dk/
Solelgrossisten Sverige AB,Sweden,,victron@solelgrossisten.se,+46 (0)10 303 3306,http://www.solelgrossisten.com
Awimex International AB,Sweden,,info@awimex.se,+46 (0)414 160 50,http://www.awimex.se
Sunwind Gylling,Sweden,,info@sunwind.se,+46 (0)8 742 0170,http://www.sunwind.se
MILOŠ MULAČ,Czechia,Ing. Zbyněk Mulač,z.mulac@mulac.cz,+420 (0)377 322 827,http://www.mulac.cz
CH Marine Ltd,Ireland,Leo Humston,sales@chmarine.com,+353 (0)21 431 5700,http://www.chmarine.com
Inac Batteribolaget Malmö HK,Sweden,,order@inac.nu,+46 (0)40 701 60,http://www.batteribolaget.nu
Lasaulec Nautiek,Netherlands (the),Mr. M. Wagenaar,nautiek@lasaulec.nl,+31 (0)513 617 140,http://www.lasaulec.nl
SCET Energie,Algeria,Mr. Amine BERRAF,info@scetenergie.com,+213 (0) 23 86 22 11/12/13/14,
Gylling Teknikk AS,Norway,Einar tolpinrud,post@gylling.no,+47 67 151 400,http://www.gylling.no
AquaSolar,Netherlands (the),Lieuwe Dijkstra,info@aquasolar.nl,+31 (0)515 431 920,http://www.aquasolar.nl
Techno Center Noord,Netherlands (the),Roelof Kooiman,info@technocenternoord.nl,+31 (0)515 432 241,http://www.technocenternoord.nl
AES Lemmer,Netherlands (the),,lemmer@aes-tg.nl,0527-631117,http://www.aes-tg.nl
Independent Energy,Netherlands (the),Peter van Zwol,peter@independent-energy.nl,+31 (0)85 210 5400,http://www.independent-energy.nl
TCC,Netherlands (the),Richard Durivou,info@technocomfort.nl,+31 (0)186 653 666,http://www.technocomfort.nl
Andreja d.o.o.,Serbia,Tot Laslo,solar@andreja.co.rs,+381 21 840 666,http://www.solar-shop.rs
Anda-Olsen AS,Norway,Mr. T. Anda,post@anda-olsen.no,+47 70 178 970,http://www.anda-olsen.no
M. Sheppard & Co. Ltd.,Gibraltar,,retail@sheppard.gi,+350 200 75148,
Farco  AS,Norway,Mr. Steinar Enge,mail@farco.no,+47 22 655 320,http://www.farco.no
Sunwind Gylling AS,Norway,Mr. Odd Huse,post@sunwind.no,+47 67 171 370,http://www.sunwind.no
UTU Oy,Finland,Joona Riihimäki,joona.riihimaki@utu.eu,+358 (0)9 2746 411,http://www.utu.eu
Jacht Elektro Wisse,Netherlands (the),Mr. Rias Wisse,info@jachtelektro.com,+31 (0)118 594 456,http://www.jachtelektro.com
Jongkind Service Medemblik,Netherlands (the),Dhr. Dennis Oud,info@jsmedemblik.com,+31 (0)227 570 166,http://www.jsmedemblik.com
Goos Watersport,Netherlands (the),Dhr. K. Goos,info@gooswatersport.nl,+31 (0)566 621 084,http://www.gooswatersport.nl
Sim Holland B.V.,Netherlands (the),Mr. Ernst van Gelder,info@sim-holland.nl,+31 (0)78 641 8000,http://www.simholland.nl
BMS Technologies,United Kingdom of Great Britain and Northern Ireland (the),Mr. Piers Tangye,sales@batterymegastore.co.uk,+44 (0)1684 298800,https://www.bmstechnologies.co.uk
Callidus,United Kingdom of Great Britain and Northern Ireland (the),Mr Steve Frost,sales@callidus.shop,01626 563563,http://www.callidus.shop
Energy Monkey Ltd,United Kingdom of Great Britain and Northern Ireland (the),Paul Collins,info@energymonkey.co.uk,+44 (0) 1452 699300,https://energymonkey.co.uk/
Batteries & Solar,United Kingdom of Great Britain and Northern Ireland (the),,sales@batteriesandsolar.co.uk,01752 656 270,https://www.batteriesandsolar.co.uk/
Bimble Solar,United Kingdom of Great Britain and Northern Ireland (the),Grant Atkins,sunny@bimblesolar.com,01273 931110,https://www.bimblesolar.com/
Veloris,United Kingdom of Great Britain and Northern Ireland (the),Mr Adam Smith,technical.support@veloris.com,+44 (0)1489 570770,http://www.veloris.com
Verbeca BV,Netherlands (the),Jan Verbruggen,info@verbeca.nl,+31 (0)38 3037717,http://www.verbeca.nl
Garant Boats & Yachts,Lithuania,Rita Rusteikienė,r.rusteikiene@garant.eu,+370 685 62522,https://www.garantboats.eu/
UTU UAB,Lithuania,Gintaras Javorovicius ,gintaras.javorovicius@utu.lt,+370 5 274 2827,http://www.utu.lt
Sunwind Gylling Oy,Finland,Juha-Pekka Toivanen,sunwind@sunwind.fi,+358 20 1102 600,http://www.sunwind.fi
Euromotive Group Ltd,Ireland,Karl Cuffe,office@euromotivegroup.com,+353-719616238,http://www.euromotiveenergy.com
Maurer Elektromaschinen GmbH,Switzerland,Peter Maurer,info@maurelma.ch,+41 (0) 62 721 44 84,https://www.maurelma.ch/ki.php/Hersteller-Victron-Energy-h813h17973.html
UTU Powel OU,Estonia,Mark Milvek,info.ee@utugroup.com,+372 651 7280,http://www.utu.ee
Juga Camperservice,Belgium,Gaëtan Van Vaeck,info@juga.be,+32 13333460,http://www.juga.be
Renovaar,Estonia,Martti Moosus,renovaar@renovaar.ee,+372 655 6988,http://renovaar.ee
Piet Brouwer elektrotechniek,Netherlands (the),Piet Brouwer,info@pietbrouwer.nl,+31 (0)527 681 651,http://www.pietbrouwer.nl
Alpha Batteries,United Kingdom of Great Britain and Northern Ireland (the),John Gabbot,sales@alpha-batteries.co.uk,01706356356,https://www.alpha-batteries.co.uk/brands/victron-energy/
Midsummer Energy,United Kingdom of Great Britain and Northern Ireland (the),sales@midsummerenergy.co.uk,sales@midsummerenergy.co.uk,+44-1223858414,https://midsummerenergy.co.uk/
ABC Leisure Group Renewable/Inland Waterways/Vehicles,United Kingdom of Great Britain and Northern Ireland (the),,office@onboardenergy.com,+44 (0)845 4566572,http://www.onboardenergy.co.uk
Sonepar Región Insular (Palma de Mallorca).,Spain - Balearen,,dielectrobalear@sonepar.es,+34 971 430 486,https://sonepar.es
Jongkind Service Palma S.L.,Spain - Balearen,,palma@cornelisjongkind.nl,+34 971 694 537,
Performance Engineering,Tunisia,,sadek.chelouah@performance-engineering.pro,+216 505 020 63,
Accusysteme TransWatt GmbH (Also Repair Centre),Germany,Mr. Mischkowski,info@transwatt.de,+49 (0)2927-800600,http://www.transwatt.de
Accusysteme TransWatt GmbH  (Installateur) CAREX Reisemobiltechnik e.K.,Germany,Herr Yalcin Cinaryolu,info@carex.de,+49(0)2305 6995032,http://www.carex.de
Accusysteme TransWatt GmbH  (Installateur) Dussmann Industrial Automation GmbH,Germany,Rolf Klein,rolf.klein@dussmann.de,Tel. +49(0)201853140,https://de.dussmann.de/industrial-automation
Accusysteme TransWatt GmbH  (Installateur) Elektrotechnik Philippskötter,Germany,Ansgar Philippskötter,autarkesysteme@philippskoetter.de,+49(0)2541 7403390,https://www.philippskoetter.de/
Accusysteme TransWatt GmbH  (Installateur) GTW Overland,Germany,,kontakt@gtw-overland.de,+49(0)7044 9129 300,http://www.gtw-overland.de/
Audio Technik GmbH,Germany,Mr. Kirchhoff,audio@batterielader.de,+49 (0)5222 3096,http://www.batterielader.de
Bukh-Bremen Vertriebsgesellschaft mbH,Germany,Christian Czerwonka / Jan-Dirk Jung,info@bukh-bremen.de,+49 (0)421 535 070,https://www.bukh-bremen.de/index.php?main_page=advanced_search_result&search_in_description=1&keyword=victron
Motto Engineering,Bulgaria,Mr. Ivan Dinev,ivan.dinev@motto-engineering.eu,+359 (0)2 488 1747,http://www.motto-engineering.com
Elektro-Mechanik Meisl GmbH,Germany,Mr. Meisl,info@meisl.eu,+49 (0)8652 964966,https://www.enerflex.de/de/
Elektro-Mechanik Meisl GmbH (Installateur) Strobl Elektrotechnik GmbH,Germany,Julian Strobl,info@la-elektro.de,+49(0)871-27669943,https://www.la-elektro.de
Elektro-Mechanik Meisl GmbH (Installateur) EKS GmbH,Germany,Marc-Oliver Roth,mr@eks-energie.de,+49(0)7021-8602660,http://www.eks-energie.de/
Elektro-Mechanik Meisl GmbH (Installateur) Domotica Elektrotechnik e.K.,Germany,Johannes Nardten,info@domotica-e.de,+49(0)8282 9958793,http://www.domotica-e.de
Elektro-Mechanik Meisl GmbH (Installateur) Stein Erneuerbare Energien GmbH,Germany,,victron@stein-ee.de,,http://www.stein-ee.de
Elektro-Mechanik Meisl GmbH (Installateur)  Solar Autarkie Erding,Germany,Walter Lempetzeder,anfrage@solarautarkieerding.de,,https://solarautarkieerding.de/
Ferropilot (Berlin) GmbH,Germany,Mr. Alwin Schulze,info@ferroberlin.de,+49 (0)3362 58590,http://www.ferroberlin.de
Fischer Panda,Germany,Mr. Sebastian Krallemann,info@fischerpanda.de,+49 (0)5254 9202-0,http://www.fischerpanda.de
Palby Marine,Denmark,Allan Loch,palby@palby.dk,+45 (0)75 881 311,http://www.palby.dk
Danbrit Akkumulator A/S,Denmark,Torben Møller,salg@danbritas.dk,+45 (0)9815 9300,http://www.danbritas.dk/
Spa Soprec,Algeria,,alener@groupe-soprec.com,+213 27 71 88 48,
Baltic Marine Group AS,Estonia,,bm@bm.ee,+372 68 333 00,http://www.bm.ee
OU BASTINI,Estonia,Eduard Labaznikov,el@bastini.ee,+372 6605 811,http://www.bastini.ee
Sonepar Región Noreste (Barcelona).,Spain,,guerin.martorell@sonepar.es,+34 937 735 055,https://sonepar.es
Atlantic Batteries (Distributeur),France,,nantes@atlantic-batteries.fr,02.28.01.47.36,https://www.batteries-energie.com/
FE SOLAR ( Installateur et Revendeur),France,+33(0)6 60 06 89 02,fe_solar@bbox.fr,,
SOLECO (Distributeur & Installateur),France,Christian Tartaroli,c.tartaroli@soleco.fr,+33 (0)4 9530 7214,
SOLECO (Distributeur & Installateur),France,Christian Tartaroli,c.tartaroli@soleco.fr,+33 04.95.55.24.00,https://www.soleco.fr
SOLECO (Distributeur & Installateur),France,Christian Tartaroli,c.tartaroli@soleco.fr,+33 04.95.10.16.69,https://www.soleco.fr
Cocoon Ecoclima,Greece,Karman Tang,ktang@cocoon.gr,+30 211 7109382,http://www.cocoon.gr
Schrack Technik d.o.o.,Croatia,Mr Josip Radin,josip.radin@schrack.hr,+385 99 3173 700,http://www.schrack.hr
GIMINIJA UAB,Lithuania,,info@giminija.lt,+370 613 74575,http://www.giminija.lt
"Eselo, SIA",Latvia,Martins Dreimanis,eselo@eselo.lv,+371 67 114 444,http://www.eselo.lv
AKUMULATORU CENTRS SIA,Latvia,Uldis Arens,uldis@akumulatorucentrs.lv,+371 20 208 039,http://www.akumulatorucentrs.lv
Hansael SIA,Latvia,Olegs Orlovs,hansael@hansael.eu,+371 6 732 5352,http://www.hansael.eu
EG inženieri SIA (Also Repair Centre),Latvia,Valdis Gailitis,info@solenergo.lv,+371 29279183,http://www.solenergo.lv
Solfinity S.P. z o.o. sp. k.,Poland,,sklep@soltec.pl,+48 22 42 88 777,http://www.solfinity.pl
Nautic Stroobos,Netherlands (the),Erik Strijker,info@nautic-stroobos.nl,+31(0) 512 352 414,http://www.nautic-stroobos.nl
Stevens Nautical,Netherlands (the),Dhr Perry Stevens,info@stevensnautical.nl,+31 (0)167 528 200,http://www.stevensnautical.nl
